trade_date,filename,underlier,expiry_date,strike,option_type,instrument_name,parse_status,failure_reason
2022-11-01,BANKNIFTY22111038100PE.csv,BANKNIFTY,2022-11-10,38100,PE,BANKNIFTY22111038100PE,OK,None
2022-11-01,BANKNIFTY22111038200PE.csv,BANKNIFTY,2022-11-10,38200,PE,BANKNIFTY22111038200PE,OK,None
2022-11-01,BANKNIFTY22111038300PE.csv,BANKNIFTY,2022-11-10,38300,PE,BANKNIFTY22111038300PE,OK,None
2022-11-01,BANKNIFTY22111038400PE.csv,BANKNIFTY,2022-11-10,38400,PE,BANKNIFTY22111038400PE,OK,None
2022-11-01,BANKNIFTY22111038500CE.csv,BANKNIFTY,2022-11-10,38500,CE,BANKNIFTY22111038500CE,OK,None
2022-11-01,BANKNIFTY22111038500PE.csv,BANKNIFTY,2022-11-10,38500,PE,BANKNIFTY22111038500PE,OK,None
2022-11-01,BANKNIFTY22111038600PE.csv,BANKNIFTY,2022-11-10,38600,PE,BANKNIFTY22111038600PE,OK,None
2022-11-01,BANKNIFTY22111038700PE.csv,BANKNIFTY,2022-11-10,38700,PE,BANKNIFTY22111038700PE,OK,None
2022-11-01,BANKNIFTY22111038800PE.csv,BANKNIFTY,2022-11-10,38800,PE,BANKNIFTY22111038800PE,OK,None
2022-11-01,BANKNIFTY22111038900PE.csv,BANKNIFTY,2022-11-10,38900,PE,BANKNIFTY22111038900PE,OK,None
2022-11-01,BANKNIFTY22111039000CE.csv,BANKNIFTY,2022-11-10,39000,CE,BANKNIFTY22111039000CE,OK,None
2022-11-01,BANKNIFTY22111039000PE.csv,BANKNIFTY,2022-11-10,39000,PE,BANKNIFTY22111039000PE,OK,None
2022-11-01,BANKNIFTY22111039100PE.csv,BANKNIFTY,2022-11-10,39100,PE,BANKNIFTY22111039100PE,OK,None
2022-11-01,BANKNIFTY22111039200CE.csv,BANKNIFTY,2022-11-10,39200,CE,BANKNIFTY22111039200CE,OK,None
2022-11-01,BANKNIFTY22111039200PE.csv,BANKNIFTY,2022-11-10,39200,PE,BANKNIFTY22111039200PE,OK,None
2022-11-01,BANKNIFTY22111039300CE.csv,BANKNIFTY,2022-11-10,39300,CE,BANKNIFTY22111039300CE,OK,None
2022-11-01,BANKNIFTY22111039300PE.csv,BANKNIFTY,2022-11-10,39300,PE,BANKNIFTY22111039300PE,OK,None
2022-11-01,BANKNIFTY22111039400CE.csv,BANKNIFTY,2022-11-10,39400,CE,BANKNIFTY22111039400CE,OK,None
2022-11-01,BANKNIFTY22111039400PE.csv,BANKNIFTY,2022-11-10,39400,PE,BANKNIFTY22111039400PE,OK,None
2022-11-01,BANKNIFTY22111039500CE.csv,BANKNIFTY,2022-11-10,39500,CE,BANKNIFTY22111039500CE,OK,None
2022-11-01,BANKNIFTY22111039500PE.csv,BANKNIFTY,2022-11-10,39500,PE,BANKNIFTY22111039500PE,OK,None
2022-11-01,BANKNIFTY22111039600CE.csv,BANKNIFTY,2022-11-10,39600,CE,BANKNIFTY22111039600CE,OK,None
